CUST_KEY,JOBPARTCHARGE,JOBLABOURCHARGE,MODEL_NEW,YEAR,AVG_MILE
10605-WEPVQ7S51SDQ63645,105.44142857142857,81.28571428571429,535,2012,5415.775510204082
10605-WES3S9S52VJ276143,411.5573333333333,143.56933333333333,M3,2015,13998.32
10605-WESWD93519P361468,93.44000000000001,54.08181818181818,M3,2009,5835.550757575757
10606-WESKG9S59DJ595147,701.4979999999999,121.5,M3,2013,3558.25
106069-5QKVE53596LV27341,207.91,178.9,X5,2006,22111.323809523812
10618-5QKKR0S57V0P01986,30.656399999999998,41.391999999999996,X5,2015,16447.852
10618-WEPVE13566KR65128,62.20666666666667,57.666666666666664,325,2006,20653.5
10621-WEPPK7S5KPP462101,65.55357142857143,121.98214285714286,328,2010,9369.07142857143
10629-WMWRE33545TD99681,243.51333333333332,160.0,COOPER S 6SPD,2005,1672.7878787878788
10630-WMWRE33505TL12825,311.81,242.1314285714286,COOPER S 6SPD,2005,29677.55634920635
10632-WMWRS335K5TJ69596,52.13199999999999,84.46000000000001,COOPER 1.6,2005,2948.4444444444443
10633-WEPVD33506KL51570,69.63071428571428,118.89642857142859,330,2006,5499.416666666666
10636-WEPEV53414KM33529,114.59846153846155,106.51307692307692,3 SERIES E46,2004,14997.575274725274
10637-5QKVE53515LV17305,156.27631578947367,142.65263157894736,X5,2005,8745.43127136022
10650-5QKVE53555LV15332,0.0,178.8,X5,2005,10531.25
10650-WEP3E3S53DJ811790,103.365,74.62833333333333,328,2013,16824.450238095236
10650-WEPEW53412PG08832,8.74,90.0,330,2002,7295.333333333333
10656-WEPQQ33599P539624,88.4658620689655,78.66827586206897,328,2009,11751.678981937603
10656-WEPVQ7S50ES780790,71.04666666666667,254.6,535,2011,10042.142857142857
10657-WEP3K5S5KVK301705,63.396842105263154,40.21315789473684,328,2015,8115.486842105263
10657-WEPQQ3S58SP543784,305.2033333333334,38.7,328,2012,5869.212962962963
10660-5QKVE53535LV16205,59.35999999999999,126.10000000000001,X5,2005,4779.7
10662-5QKVE83538L165275,180.5741176470588,194.0,X5,2008,15263.255220269926
10662-WEP3E9S5KEV588168,418.12,0.0,335,2014,18.0
10683-WESER93434PK06064,56.215,107.8,3 SERIES E46,2004,2497.923076923077
10683-WESER93445PK10366,289.31,61.0,3 SERIES E46,2005,3619.266666666667
10683-WESVV9S5KDD095570,0.0,199.95,M5,2013,6739.25
10688-5QKVG43568L221115,373.0676,195.5284,X6,2008,12341.22342857143
10696-WMWRS33575TK60874,333.90099999999995,237.66,COOPER 1.6,2005,15978.430303030304
10701-WMWRE33585TG97800,109.15799999999999,152.65,COOPER S 6SPD,2005,11470.275
10710-5QKKR0S53V0P11494,227.0537037037037,84.06481481481481,X5,2015,8727.706790123457
10710-WEPEW33445PL36902,94.77444444444444,79.27888888888889,3 SERIES E46,2005,4614.849348182682
10711-4QSET53483LQ00607,153.40285714285713,247.5142857142857,Z4,2003,6618.272727272727
10711-5QKVP13546LY24979,261.7342857142857,259.6795918367347,X5,2006,12368.64745458623
10714-WMWRS33525TK62077,126.5257142857143,151.08571428571426,COOPER 1.6,2005,8430.702226345084
10736-WEPEW53444PJ96134,74.7,58.0,330,2004,25431.85714285714
10738-WMWSV3S55ETY25100,107.37105263157895,112.55105263157894,COOPER S,2011,6875.60350877193
10743-WEPVE33576KR72777,62.92,46.25,X5,2006,7854.166666666667
10753-WESWL93598PL89200,17.94,99.95,M3,2008,5833.5
10766-WEPVE33521LH13723,0.0,144.0,X5,2001,14884.692307692309
10766-WMWRS33555TK60145,34.34,62.43333333333334,COOPER 1.6,2005,14126.142857142857
10801-WMWRE33595TG96848,10.12,109.5,COOPER S 6SPD,2005,9669.57142857143
10815-WMWRE33403TD66410,0.0,139.0,COOPER S 6SPD,2003,10370.9
10821-5QKVP13554LQ26368,210.408,241.39000000000001,X5,2004,8133.688888888889
10822-5QKVE435K8L034238,201.99,157.6,X5,2008,19612.75
10826-WMWZS5S59DWM16440,19.9875,37.75,COOPER COUNTRYMAN,2013,8455.5
10846-WEPVD33536KV60009,829.415,232.34833333333336,330,2006,21973.166666666668
10848-WEPNV9S51PS391465,0.0,298.0,535,2010,9826.5
10865-WEKPP73445WS49592,0.0,149.0,X3,2005,19167.0
10879-WMWSV3S58STY26100,46.53454545454545,36.88636363636363,COOPER S,2012,4196.272727272727
10890-5QKVG2S51SL779435,180.7750769230769,121.12692307692308,X6,2012,13950.2963003663
10890-WEPLM1S58GE634648,73.52571428571427,90.48642857142856,Z4,2016,7962.788690476191
10893-WMWRS33515TJ71902,158.61100000000002,169.642,COOPER 1.6,2005,8090.863492063491
109-5QKVP93534LE81502,37.02,0.0,X5,2004,8666.333333333334
109-WEP3N5S54VK197624,138.73749999999998,71.6875,428,2015,6263.3
10900-5QKVP13595LY16648,51.46,162.36166666666665,X5,2005,15386.074074074075
10900-5QKZV4S55D0E07561,168.75066666666666,123.13333333333334,X5,2013,7699.337301587302
10904-WMWMV3S59PTQ79153,127.89,282.0,COOPER,2010,11096.0
10904-WMWZS5S5KDWM15569,29.94666666666667,24.75,COOPER COUNTRYMAN,2013,7751.61111111111
10908-5QKZV4S52SL986916,139.42071428571427,146.42499999999998,X5,2012,9947.587159863946
10908-WEPKV9S56EE261879,50.65,76.47142857142856,335,2011,14267.160714285714
10908-WEPVP33587PV67776,101.9742857142857,73.15,328,2007,12369.666666666666
10913-5QKKS4S33H0Q05165,416.41777777777776,51.93333333333333,X5,2017,9662.25
10913-5QKVE43579L037860,203.10032258064518,129.89064516129034,X5,2009,15443.739836149512
10913-5QKWK9S58V0D61276,24.901785714285715,40.791428571428575,X3,2015,12119.389880952382
10929-5QKVE53515LV12542,80.5,45.6,X5,2005,14807.0
10929-5QKZV4S55D0E07236,141.452,73.03999999999999,X5,2013,18776.486666666668
10929-WEPEV33433KR24042,94.0457142857143,86.21428571428571,3 SERIES E46,2003,13559.44501133787
10942-WMWRS33425TS56693,163.94000000000003,352.55833333333334,COOPER 1.6,2005,12857.90909090909
10945-WMWRH33595TV84056,52.0,58.35,COOPER S CONVERT,2005,1670.0
10956-WEPWL73597PK42106,86.542,107.82000000000001,335,2007,7081.719999999999
10967-WEPWL13508PK20767,55.64,88.49285714285715,328,2008,8555.823129251701
10973-WEPVE33506KR75486,52.385,82.1857142857143,X5,2006,10004.828798185941
10977-5QKVE53596LV22270,166.3825,191.5,X5,2006,4872.446428571428
